Vitglobal.com - eRuido DBAMonitor DataLogging File
System started at 	2022-09-29T14:27:26
Datalogging started at 	2022-09-30T14:39:11
LAEq1s,LCEq1s,LASlow,LASMax,Temperature,Humidity,Windspeed,Winddir,DateTime
23.6932,45.6135,24.1352,24.7782,,,-1,-1,2022-09-30T14:40:26
23.2503,41.331,23.5978,24.1329,,,-1,-1,2022-09-30T14:40:27
23.0201,40.8135,23.2362,23.5772,,,-1,-1,2022-09-30T14:40:28
22.9165,41.4719,23.047,23.2264,,,-1,-1,2022-09-30T14:40:29
23.1119,41.8197,23.0934,23.0981,,,-1,-1,2022-09-30T14:40:30
22.822,39.942,22.9231,23.0938,,,-1,-1,2022-09-30T14:40:31
23.3947,42.564,23.2408,23.2704,,,-1,-1,2022-09-30T14:40:32
24.9231,44.3378,24.4989,24.4989,,,-1,-1,2022-09-30T14:40:33
27.0694,48.2232,26.3372,26.3372,,,-1,-1,2022-09-30T14:40:34
25.4649,45.1426,25.778,26.4023,,,-1,-1,2022-09-30T14:40:35
25.2635,44.8909,25.5333,25.7761,,,-1,-1,2022-09-30T14:40:36
24.668,43.9459,25.0269,25.5426,,,-1,-1,2022-09-30T14:40:37
25.2889,45.3496,25.2252,25.2376,,,-1,-1,2022-09-30T14:40:38
25.1281,46.1752,25.2254,25.2254,,,-1,-1,2022-09-30T14:40:39
26.2156,46.0792,25.8011,25.9384,,,-1,-1,2022-09-30T14:40:40
27.6379,46.3841,26.9435,27.0043,,,-1,-1,2022-09-30T14:40:41
26.438,45.8146,26.4541,27.2044,,,-1,-1,2022-09-30T14:40:42
24.2432,42.3929,25.2503,26.4142,,,-1,-1,2022-09-30T14:40:43
23.8291,41.9468,24.4307,25.2218,,,-1,-1,2022-09-30T14:40:44
23.5376,43.4634,23.8777,24.4213,,,-1,-1,2022-09-30T14:40:45
23.3302,42.8496,23.5592,23.8683,,,-1,-1,2022-09-30T14:40:46
24.6047,45.4012,24.2553,24.2553,,,-1,-1,2022-09-30T14:40:47
25.9488,47.76,25.311,25.4394,,,-1,-1,2022-09-30T14:40:48
24.6219,45.0871,24.9193,25.3334,,,-1,-1,2022-09-30T14:40:49
24.9262,46.2698,24.8972,25.0122,,,-1,-1,2022-09-30T14:40:50
25.2995,48.1051,25.1811,25.1946,,,-1,-1,2022-09-30T14:40:51
24.5734,43.9435,24.809,25.1646,,,-1,-1,2022-09-30T14:40:52
25.6614,47.0248,25.4466,25.4466,,,-1,-1,2022-09-30T14:40:53
25.2381,46.2775,25.2496,25.528,,,-1,-1,2022-09-30T14:40:54
24.9941,46.7497,25.1547,25.2241,,,-1,-1,2022-09-30T14:40:55
25.2095,46.2112,25.2105,25.2105,,,-1,-1,2022-09-30T14:40:56
24.0602,42.0514,24.4997,25.1989,,,-1,-1,2022-09-30T14:40:57
23.3556,39.2383,23.8357,24.4821,,,-1,-1,2022-09-30T14:40:58
23.018,38.9891,23.3369,23.8134,,,-1,-1,2022-09-30T14:40:59
22.7193,39.4864,22.9379,23.3308,,,-1,-1,2022-09-30T14:41:00
22.8342,38.6387,22.94,22.94,,,-1,-1,2022-09-30T14:41:01
23.764,40.4413,23.3682,23.4721,,,-1,-1,2022-09-30T14:41:02
